"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"3091",49.799999,50.035,49.052502,49.717499,111042800,48.338917
"3092",49.645,49.962502,49.502499,49.807499,70146400,48.426426
"3093",49.865002,50.342499,49.639999,49.8125,102785600,48.431286
"3094",49.884998,50.845001,49.6525,50.782501,115627200,49.374397
"3095",50.779999,51.037498,50.630001,50.965,96783200,49.551834
"3096",50.7075,51.235001,50.584999,51.1325,77758000,49.714691
"3097",51.107498,51.9375,50.974998,51.869999,93292000,50.431736
"3098",51.84,52.119999,51.762501,51.790001,70162400,50.353958
"3099",51.7075,51.939999,51.279999,51.32,74172800,49.896988
"3100",51.224998,51.25,50.529999,51.075001,74596400,49.658787
"3101",51.099998,51.4925,50.965,51.1525,88818800,49.734135
"3102",50.764999,50.849998,49.7775,50.1675,186139600,48.776451
"3103",52.470001,53.827499,52.307499,52.630001,259309200,51.17067
"3104",52.459999,53.162498,52.032501,52.287498,127985200,50.837662
"3105",52.7225,52.959999,52.557499,52.9375,83569600,51.469635
"3106",51.072498,52.209999,50.875,52.119999,129772400,50.674809
"3107",51.470001,51.855,50.2075,50.715,155054800,49.308762
"3108",50.474998,51.334999,50.4375,50.724998,105358000,49.318478
"3109",50.099998,50.419998,49.165001,50.18,139634400,48.788605
"3110",49.355,49.712502,48.192501,49.294998,164834800,48.112709
"3111",46.927502,47.369999,45.712502,46.43,229722400,45.316425
"3112",46.602501,47.424999,46.352501,47.165001,146118800,46.033798
"3113",46.567501,47.9375,46.505001,47.73,106178800,46.585243
"3114",47.477501,48.1175,47.209999,47.52,132125600,46.380283
"3115",46.732498,47.724998,46.689999,47.25,131516400,46.116756
"3116",45.880001,46.087502,45.07,45.772499,154449200,44.674686
"3117",46.305,47,46.174999,46.650002,113459200,45.531151
"3118",46.165001,46.427502,45.637501,45.695,118994400,44.599052
"3119",44.950001,45.134998,44.452499,44.915001,146118800,43.837765
"3120",45.049999,45.535,44.654999,44.7425,94858800,43.669395
"3121",44.73,45.147499,44.477501,44.557499,111792800,43.488834
"3122",44.105,44.837502,44,44.345001,113924800,43.281433
"3123",44.487499,44.807499,44.1675,44.575001,84873600,43.50592
"3124",44.057499,44.497501,43.747501,43.767502,108174400,42.717789
"3125",43.900002,44.48,42.567501,43.325001,161584400,42.285892
"3126",43.860001,44.9575,43.630001,44.91,123872000,43.832882
"3127",46.07,46.247501,45.285,45.634998,119093600,44.540493
"3128",45.77,46.3675,45.537498,46.305,90105200,45.194424
"3129",46.627499,47.98,46.442501,47.537498,122737600,46.397362
"3130",47.952499,48.842499,47.904999,48.145,104883600,46.990292
"3131",48.715,49,48.400002,48.702499,107731600,47.53442
"3132",48.487499,48.9925,48.3475,48.547501,73012800,47.383148
"3133",48.674999,49.197498,48.400002,48.537498,86698400,47.373375
"3134",47.887501,48.397499,47.575001,48.185001,75046000,47.029327
"3135",48.224998,48.740002,48.0425,48.4725,58676400,47.309937
"3136",49.012501,50.072498,48.802502,49.612499,106204000,48.4226
"3137",49.919998,49.970001,49.327499,49.467499,84496800,48.281067
"3138",50.092499,50.1525,49.5075,49.865002,86056000,48.669044
"3139",49.700001,50.212502,49.537498,49.695,191202400,48.50312
"3140",49.634998,50.040001,49.5425,49.645,72881600,48.454308
"3141",49.607498,49.814999,48.822498,48.892502,84281200,47.719864
"3142",49.442501,50.247501,49.337502,49.950001,104270000,48.752003
"3143",50.072498,50.392502,49.892502,49.935001,83598800,48.737358
"3144",49.669998,49.875,49.262501,49.48,124442400,48.293274
"3145",50.7925,51.122501,50.162498,50.387501,109012000,49.179005
"3146",50.352501,50.782501,50.34,50.682499,67740800,49.466927
"3147",50.82,51.110001,50.672501,51.102501,45448000,49.876858
"3148",50.837502,51.27,50.724998,51.057499,69062000,49.832932
"3149",50.202499,50.349998,49.602501,50.005001,101354400,48.805683
"3150",49.799999,50.377499,49.702499,50.310001,82312000,49.103367
"3151",50.462502,50.932499,50.389999,50.807499,71588400,49.588932
"3152",50.827499,51.0975,50.427502,50.4375,80767200,49.227798
"3153",50.612499,51,50.549999,50.825001,70380800,49.606014
"3154",51.022499,51.467499,51,51.302502,67789600,50.072063
"3155",51.147499,51.5275,50.875,51.125,67467200,49.898823
"3156",51.012501,51.272499,50.817501,50.837502,56430000,49.618214
"3157",51,51.470001,50.924999,51.415001,74162400,50.181866
"3158",51.447498,51.625,50.59,50.647499,83717200,49.432777
"3159",50.912498,51.807499,50.9025,51.805,89111600,50.562515
"3160",52.115002,52.227501,51.822498,52.209999,73420800,50.957798
"3161",51.9175,52.287498,51.7925,52.1675,59966400,50.916313
"3162",52.2225,52.310001,51.682499,51.755001,55638400,50.51371
"3163",51.869999,52.432499,51.785,51.935001,70475600,50.689392
"3164",52.115002,52.66,52.110001,52.419998,86693600,51.162758
"3165",52.189999,52.540001,51.827499,52.195,135742800,50.943161
"3166",54.105,55.342499,52.825001,53.259998,277125600,51.982609
"3167",53.474998,54.5075,51.685001,52.107498,216071600,50.857758
"3168",51.3825,51.607498,50.407501,51.005001,163448400,49.781696
"3169",49.497501,49.662498,48.145,48.334999,209572000,47.175735
"3170",49.077499,49.517502,48.509998,49.25,143299200,48.068787
"3171",48.852501,49.889999,48.455002,49.759998,133457600,48.566551
"3172",50.049999,50.8825,49.8475,50.857498,108038000,49.637733
"3173",50.325001,50.689999,49.822498,50.247501,98478800,49.228703
"3174",49.904999,50.512501,49.787498,50.119999,89927600,49.103786
"3175",50.255001,53.035,50.119999,52.2425,188874000,51.183247
"3176",50.790001,51.610001,50.647499,50.6875,146189600,49.659775
"3177",50.865002,51.285,49.9175,50.435001,108909600,49.412392
"3178",51.07,51.790001,50.959999,51.625,110481600,50.57827
"3179",52.654999,53.182499,52.5075,52.587502,97654400,51.521255
"3180",52.720001,53.337502,52.580002,52.59,107537200,51.523701
"3181",53.247501,53.412498,52.900002,53.16,86141600,52.082146
"3182",53.297501,53.610001,52.6875,53.115002,89014800,52.038059
"3183",52.357498,53.012501,50.25,50.66,187272000,49.632832
"3184",51.465,51.797501,51.264999,51.622501,104174400,50.575825
"3185",51.965,52.137501,50.8825,51.040001,103493200,50.005131
"3186",51.025002,51.43,50.830002,51.3825,63755200,50.340691
"3187",52.125,52.330002,51.665001,52.252499,83962000,51.193047
"3188",52.540001,52.612499,51.799999,52.185001,84573600,51.126911
"3189",51.607498,51.744999,51.055,51.424999,80092000,50.38232
"3190",52.0975,52.369999,51.830002,52.297501,76752400,51.237133
"3191",53,53.4925,52.877499,53.32,95654800,52.238899
"3192",53.512501,53.605,53.127499,53.314999,77449200,52.234005
"3193",53.709999,54.110001,52.767502,53.5425,109237600,52.45689
"3194",53.465,54.195,52.927502,54.174999,127111600,53.076569
"3195",54.517502,55.927502,54.432499,55.897499,177158400,54.764133
"3196",56.200001,56.605,55.715,55.772499,128906800,54.64167
"3197",55,55.197498,54.255001,54.6875,159053200,53.578671
"3198",54.432499,55.032501,54.389999,54.974998,84632400,53.86034
"3199",54.990002,55.205002,54.779999,55.174999,73274800,54.05629
"3200",55.264999,55.712502,54.860001,55.692501,101360000,54.563305
"3201",55.502499,55.939999,55.092499,55.240002,88242400,54.119976
"3202",55.345001,55.639999,54.3675,54.432499,221652400,53.328846
